;;;;;;;;;;;;;;;;;;;;;delta12[?s];delta23[?s];delta34[?s];delta54[?s];Razem[?s];Przesy³ SerialPort [s];Przesy³ SerialPort [Hz]
-51,09;-163,53;7,91;4552008;-96,12;162,34;-19,61;4559696;143,96;-179,09;-2,81;4565516;151,2;176,02;15,41;4570840;-0,65;9,8;-7,59;4578584;0;7688;5820;5324;7744;26576;;
-51,09;-163,53;7,91;4684632;-96,12;162,34;-19,61;4691612;143,96;-179,09;-2,81;4698304;151,2;176,02;15,41;4705328;-0,65;9,8;-7,59;4711592;2484707;6980;6692;7024;6264;26960;;
-51,09;-163,53;7,91;4819236;-96,12;162,34;-19,61;4824480;143,96;-179,09;-2,81;4829872;151,2;176,02;15,41;4837916;-0,65;9,8;-7,59;4843456;2619893;5244;5392;8044;5540;24220;0,135186;7,397215688
-51,09;-163,53;7,91;4950720;-96,12;162,34;-19,61;4956388;143,96;-179,09;-2,81;4961780;151,2;176,02;15,41;4969164;-0,65;9,8;-7,59;4974568;2751014;5668;5392;7384;5404;23848;0,131121;7,626543422
-51,09;-163,53;7,91;5081440;-96,12;162,34;-19,61;5087100;143,96;-179,09;-2,81;5093936;151,2;176,02;15,41;5100332;-0,65;9,8;-7,59;5105756;2882012;5660;6836;6396;5424;24316;0,130998;7,633704331
-51,09;-163,53;7,91;5212400;-96,12;162,34;-19,61;5218212;143,96;-179,09;-2,81;5226160;151,2;176,02;15,41;5231492;-0,65;9,8;-7,59;5236912;3012024;5812;7948;5332;5420;24512;0,130012;7,691597699
-51,09;-163,53;7,91;5343208;-96,12;162,34;-19,61;5349212;143,96;-179,09;-2,81;5357196;151,2;176,02;15,41;5362504;-0,65;9,8;-7,59;5367916;3143811;6004;7984;5308;5412;24708;0,131787;7,588001851
-51,09;-163,53;7,91;5474252;-96,12;162,34;-19,61;5479500;143,96;-179,09;-2,81;5487160;151,2;176,02;15,41;5492468;-0,65;9,8;-7,59;5498352;3274893;5248;7660;5308;5884;24100;0,131082;7,628812499
-51,09;-163,53;7,91;5604656;-96,12;162,34;-19,61;5611216;143,96;-179,09;-2,81;5618352;151,2;176,02;15,41;5624072;-0,65;9,8;-7,59;5629476;3403242;6560;7136;5720;5404;24820;0,128349;7,791256652
-51,09;-163,53;7,91;5735392;-96,12;162,34;-19,61;5742156;143,96;-179,09;-2,81;5749124;151,2;176,02;15,41;5755012;-0,65;9,8;-7,59;5760460;3534249;6764;6968;5888;5448;25068;0,131007;7,633179906
-51,09;-163,53;7,91;5866212;-96,12;162,34;-19,61;5873188;143,96;-179,09;-2,81;5879656;151,2;176,02;15,41;5885960;-0,65;9,8;-7,59;5891476;3665371;6976;6468;6304;5516;25264;0,131122;7,626485258
